City_ID,City,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
79,Hilo,19.7297,-155.09,overcast clouds,73.13,86,100,6.91,US
80,Nikolskoye,59.7035,30.7861,light snow,35.87,97,100,16.35,RU
81,Mataura,-46.1927,168.8643,scattered clouds,78.93,30,39,5.08,NZ
82,Dikson,73.5069,80.5464,overcast clouds,-28.41,99,85,5.08,RU
83,Ambilobe,-13.2,49.05,overcast clouds,75.36,91,90,2.08,MG
84,Cayenne,4.9333,-52.3333,broken clouds,79.09,84,75,3.0,GF
85,Hobart,-42.8794,147.3294,clear sky,76.26,28,0,13.8,AU
86,Tasiilaq,65.6145,-37.6368,overcast clouds,24.96,81,100,16.75,GL
87,Tres Lagoas,-20.7511,-51.6783,light rain,72.16,92,95,5.73,BR
88,Barrow,71.2906,-156.7887,broken clouds,-18.38,76,75,9.22,US
89,Forestville,38.8451,-76.875,broken clouds,49.86,65,75,10.36,US
90,Avarua,-21.2078,-159.775,light rain,77.05,94,75,11.5,CK
91,Bruhl,50.8293,6.905,broken clouds,53.82,64,75,36.82,DE
92,Proddatur,14.7333,78.55,overcast clouds,78.21,49,98,7.4,IN
93,Tura,25.5198,90.2201,clear sky,72.46,33,0,2.82,IN
94,Northam,51.0333,-4.2167,broken clouds,50.31,81,58,28.03,GB
95,Bredasdorp,-34.5322,20.0403,few clouds,55.27,72,13,6.26,ZA
96,Shimoda,34.6667,138.95,clear sky,46.11,35,4,22.95,JP
97,Nhulunbuy,-12.2333,136.7667,scattered clouds,90.21,58,40,10.36,AU
98,Katsuura,35.1333,140.3,broken clouds,49.1,32,81,19.42,JP
99,Lata,40.1629,-8.3327,overcast clouds,53.92,98,86,2.64,PT
100,Ponta Delgada,37.7333,-25.6667,broken clouds,62.51,77,75,11.5,PT
101,High Level,58.5169,-117.136,broken clouds,-11.78,99,84,7.25,CA
102,Los Llanos De Aridane,28.6585,-17.9182,broken clouds,60.55,57,75,11.01,ES
103,Tamiahua,21.2667,-97.45,clear sky,69.51,89,0,13.42,MX
104,New Norfolk,-42.7826,147.0587,clear sky,75.92,24,2,7.0,AU
105,Kapaa,22.0752,-159.319,few clouds,78.78,76,20,14.97,US
106,Bakchar,57.0186,82.0711,overcast clouds,-2.81,96,100,8.14,RU
107,Mingguang,32.7802,117.9638,overcast clouds,37.87,49,100,16.8,CN
108,Omsukchan,62.5333,155.8,overcast clouds,-18.18,99,96,7.27,RU
109,Lensk,60.7253,114.9278,broken clouds,-7.65,91,74,1.68,RU
110,Leeton,-34.5667,146.4,scattered clouds,87.89,24,37,14.41,AU
111,Vasterhaninge,59.1167,18.1,overcast clouds,33.33,96,100,12.03,SE
112,Kaitangata,-46.2817,169.8464,clear sky,66.92,75,2,9.82,NZ
113,Namatanai,-3.6667,152.4333,moderate rain,83.84,73,93,5.57,PG
114,Vanavara,60.34,102.2797,overcast clouds,-5.55,90,99,3.47,RU
115,Spornoye,50.8448,37.2913,light snow,33.82,97,100,15.19,RU
116,Mahebourg,-20.4081,57.7,light rain,82.26,79,98,17.05,MU
117,Half Moon Bay,37.4636,-122.4286,mist,66.7,56,100,16.11,US
118,Sitka,57.0531,-135.33,mist,44.49,87,100,11.5,US
119,Lebyazhye,55.2689,66.4947,overcast clouds,15.44,91,100,12.97,RU
120,Khunti,23.0833,85.2833,scattered clouds,64.51,27,43,4.59,IN
121,Imbituba,-28.24,-48.6703,clear sky,73.29,88,10,5.39,BR
122,Ahipara,-35.1667,173.1667,overcast clouds,71.02,60,100,1.88,NZ
123,Cabedelo,-6.9811,-34.8339,few clouds,77.67,72,14,6.22,BR
124,Saldanha,-33.0117,17.9442,clear sky,59.76,79,0,12.12,ZA
125,Rafaela,-31.2503,-61.4867,few clouds,70.99,69,17,1.01,AR
126,Upernavik,72.7868,-56.1549,overcast clouds,-23.98,94,100,7.81,GL
127,Kodiak,57.79,-152.4072,clear sky,36.91,75,0,0.0,US
128,Ponta Do Sol,32.6667,-17.1,clear sky,61.43,71,10,7.38,PT
129,Whitehorse,60.7161,-135.0538,light shower snow,34.57,64,75,11.5,CA
130,Guia De Isora,28.2115,-16.7795,clear sky,58.98,46,1,1.99,ES
131,Gisborne,-38.6533,178.0042,scattered clouds,70.95,73,30,6.13,NZ
132,Cockburn Town,21.4612,-71.1419,broken clouds,77.41,82,83,22.37,TC
133,Hofn,64.2539,-15.2082,overcast clouds,30.83,68,100,20.4,IS
134,Ilovlya,49.3033,43.9796,overcast clouds,29.5,89,100,9.1,RU
135,Omboue,-1.5746,9.2618,overcast clouds,78.53,81,100,3.98,GA
136,Cartagena,10.3997,-75.5144,clear sky,78.42,83,0,4.61,CO
137,Volokolamsk,56.0336,35.9694,overcast clouds,31.44,92,100,16.73,RU
138,Takoradi,4.8845,-1.7554,broken clouds,78.85,88,80,6.02,GH
139,Saint George,37.1041,-113.5841,clear sky,46.63,41,0,8.01,US
140,Qaanaaq,77.484,-69.3632,overcast clouds,-24.63,93,94,5.06,GL
141,Begoro,6.3871,-0.3774,scattered clouds,71.76,95,49,3.53,GH
142,Riviere-Au-Renard,48.9957,-64.3971,overcast clouds,21.49,86,100,13.06,CA
143,Laguna,38.421,-121.4238,clear sky,65.08,31,0,18.41,US
144,Arraial Do Cabo,-22.9661,-42.0278,clear sky,74.01,81,1,4.47,BR
145,Henties Bay,-22.116,14.2845,broken clouds,67.86,89,58,4.79,NA
146,Yellowknife,62.456,-114.3525,broken clouds,-29.7,82,56,5.99,CA
147,Puerto Ayora,-0.7393,-90.3518,overcast clouds,75.7,82,100,6.04,EC
148,Beloha,-25.1667,45.05,clear sky,73.51,75,0,9.37,MG
149,Port Alfred,-33.5906,26.891,few clouds,64.17,81,16,12.71,ZA
150,Gidam,18.9833,81.4,clear sky,79.52,34,10,2.42,IN
